1|Жоро Бекъма|ПЛАН Мини|4.99
calls|2|60|50|50|10|5.90
data|500|500|500|0|0.00
sms|3|50|3|0|0.00
mms|2|50|2|0|0.00

2|Коко Тайсъна|ПЛАН Стандарт|9.99
calls|3|114|100|100|14|5.46
data|0|1000|0|0|0.00
sms|0|100|0|0|0.00
mms|0|100|0|0|0.00

3|Калинка Малинка|ПЛАН Стандарт|9.99
calls|1|11|100|11|0|0.00
data|1596|1000|1000|596|113.24
sms|0|100|0|0|0.00
mms|0|100|0|0|0.00

4|ФИРМАТА ЕООД|ПЛАН Макси|19.99
calls|3|107|1000|107|0|0.00
data|12240|10000|10000|2240|201.60
sms|1|500|1|0|0.00
mms|1|500|1|0|0.00

